"CategoryID";"CategoryName";"Description"
1;"Electronics";"Devices"
2;"Clothing";"Apparel"
3;"Books";"Reading"
4;"Perfume";"Fragrance"
5;"Electronics";""
6;"Clothing";""
7;"Footwear";""
8;"Home & Kitchen";""
9;"Beauty & Personal Care";""
10;"Books";""
11;"Toys & Games";""
12;"Sports & Fitness";""
13;"Grocery";""
14;"Furniture";""
15;"Mobile Accessories";""
16;"Computers & Accessories";""
17;"Watches";""
18;"Jewelry";""
19;"Baby Products";""
20;"Automotive";""
21;"Office Supplies";""
22;"Pet Supplies";""
23;"Health & Wellness";""
24;"Travel Accessories";""
