OrderID,ProductID,Quantity,Price
27,30,1,2717
35,38,4,3421
43,31,4,3349
6,21,2,1611
27,22,2,2821
44,27,3,3110
71,13,2,306
73,12,1,2537
48,6,3,3445
40,31,2,721
51,32,4,2417
70,1,3,3873
18,18,1,1280
30,15,2,4496
45,4,5,2885
22,24,3,1330
61,34,2,1003
45,3,2,1548
53,7,4,374
26,21,3,4323
6,11,5,772
16,32,4,4253
58,23,5,2006
53,27,3,2018
32,21,3,3876
76,18,3,592
78,10,1,3495
48,36,3,659
24,35,5,4057
57,23,5,3132
33,8,1,461
12,21,3,2545
24,17,4,2426
59,7,2,4483
16,11,5,3306
37,20,1,4140
61,8,3,1898
51,6,1,3006
18,17,1,4706
51,2,2,4909
69,13,2,3216
80,37,3,4792
74,7,3,1909
14,29,5,3114
24,39,1,4804
65,3,5,2106
34,13,1,2288
72,30,1,1213
4,31,1,3043
64,34,1,4523
43,15,5,1451
20,4,4,4618
44,31,1,640
42,34,2,1644
29,14,5,224
62,30,4,1259
51,1,2,1471
5,12,5,3447
79,9,3,3034
36,14,4,2158
14,32,4,2320
80,9,2,2284
78,32,4,3149
42,4,3,2066
61,38,4,1499
7,39,1,2341
11,23,2,2167
34,17,2,3733
60,6,2,1908
51,30,1,1937
21,14,1,4858
43,2,1,1233
42,36,5,490
64,16,1,2057
10,20,5,2303
57,38,4,2480
12,15,1,1340
52,20,5,759
28,8,3,1656
59,36,4,1404
6,2,3,1987
2,23,4,2775
60,16,2,4388
28,40,2,440
67,35,3,448
75,2,2,3367
43,11,2,1659
31,1,4,4468
10,14,5,3259
55,35,5,4075
1,34,4,840
53,1,4,227
38,23,3,228
46,2,2,4254
13,19,5,4455
79,29,3,342
48,7,2,3117
9,5,2,423
7,4,1,233
28,2,1,4297
42,6,3,2573
22,21,2,4593
56,37,1,3776
47,15,5,2831
78,2,2,3393
4,13,1,733
64,33,1,4000
10,32,4,2427
20,18,3,1942
74,15,4,2922
42,13,2,1290
76,21,5,2232
44,3,4,1129
44,15,4,612
57,5,5,2207
25,24,1,3042
28,18,2,879
4,1,3,1247
58,10,3,4297
65,27,5,3536
29,4,4,809
70,30,4,855
27,4,3,2951
10,32,4,1032
13,40,3,3468
38,14,5,2820
15,33,3,155
23,34,5,3406
50,28,3,4147
39,15,3,3208
73,33,5,1276
47,20,5,375
2,12,3,731
54,23,5,3475
11,37,1,2558
65,38,2,3342
47,3,1,1457
10,13,5,4930
63,27,3,4941
15,38,5,1324
72,38,2,4428
2,13,3,835
34,33,1,571
21,22,1,2642
62,6,1,1584
30,20,3,3274
5,34,4,3610
46,25,1,1734
3,38,5,4026
12,31,4,1878
26,26,4,303
33,6,4,3663
27,34,3,1627
78,13,5,4977
49,1,3,4028
48,36,1,3164
8,1,5,3514
17,6,1,4103
19,30,2,1202
17,39,4,4998
73,15,1,4932
7,10,4,714
26,18,1,1813
25,18,4,1090
25,35,1,4878
50,36,2,2274
73,12,3,2830
34,12,2,3037
43,27,2,1793
4,9,4,351
60,14,3,2957
75,29,5,2977
40,33,1,4355
53,39,1,1474
39,5,3,2261
56,34,2,3246
64,7,2,1375
72,9,3,4186
53,34,1,1909
80,23,2,766
26,4,2,1543
74,35,1,3034
8,33,3,722
56,13,1,1082
18,11,4,4347
69,15,1,1975
39,26,1,1729
73,34,1,2850
11,18,5,2461
33,39,5,1283
11,9,3,2047
13,3,4,1576
44,32,4,4483
78,25,5,1245
22,33,3,3436
30,23,2,4266
31,40,3,4216
57,35,3,2014
70,6,2,4458
7,31,2,1828
79,14,1,2392
51,23,5,4267
3,9,1,3006
11,28,1,2386
28,12,3,2283
80,29,4,3234
41,25,2,4989
41,17,1,3669
73,23,1,741
37,27,3,276
67,8,1,1590
12,18,1,3202
24,37,4,1724
74,21,2,2950
8,30,1,4033
70,27,3,1716
6,40,4,2771
68,22,5,2623
27,13,2,2856
2,5,5,3664
53,37,5,4958
66,32,5,3073
24,22,3,4236
45,2,2,1080
19,14,3,2241
64,38,2,3280
47,7,3,1969
23,21,1,2687
6,15,2,676
36,28,1,1295
63,26,4,4753
39,10,4,1116
12,34,1,3770
48,12,2,3857
73,10,2,3112
14,37,3,3784
1,38,4,2596
30,1,4,2494
13,18,4,557
1,38,5,3967
72,11,3,3609
3,32,3,2865
56,40,4,2614
75,11,4,2559
15,22,5,3020
28,17,3,923
44,34,1,3724
51,12,5,429
17,17,4,354
48,11,4,3938
24,8,3,2180
46,4,1,2154
72,18,1,1247
50,13,1,2521
57,5,3,3591
35,12,3,4860
23,5,3,4740
24,23,2,1580
26,34,1,1836
73,16,4,3685
46,20,3,4915
49,28,1,2088
41,14,1,2659
73,34,4,3396
13,10,4,189
78,15,1,538
47,15,4,4353
43,26,2,1871
37,39,2,2557
26,9,1,3080
44,9,1,3928
32,3,4,1517
12,20,3,396
36,2,3,3679
32,18,5,2687
67,30,2,4296
66,38,5,1204
10,35,2,3655
71,13,2,3370
34,18,1,475
8,34,1,4503
69,24,1,1590
71,4,3,1682
13,37,1,1087
49,23,4,2620
60,23,5,1882
77,25,3,2723
52,25,4,2818
25,30,4,4130
58,40,3,304
72,28,2,1706
8,39,4,4052
45,28,3,3246
2,20,3,3052
16,6,2,2496
17,20,1,383
39,18,5,1296
42,22,4,842
43,29,1,2059
73,23,1,3565
45,26,2,1102
5,31,5,1541
47,9,1,4886
62,30,3,292
11,15,5,161
70,27,4,3044
6,15,2,3472
69,28,4,1242
57,18,5,246
11,18,1,2110
1,40,2,4876
4,19,1,2972
75,9,2,1283
28,16,5,1140
19,10,2,4170
5,12,1,1063
51,27,4,3786
29,19,1,1683
24,16,5,2230
51,3,4,3517
11,18,2,1709
75,5,2,3087
55,29,5,2946
76,20,3,4924
13,18,1,1990
73,26,5,4295
66,32,2,4619
60,21,1,657
78,5,4,1308
57,10,3,2963
25,13,5,4285
54,11,3,4041
12,31,5,281
33,16,1,3047
46,29,3,942
61,21,1,957
51,24,1,611
65,1,2,626
30,36,3,4625
50,34,5,703
13,6,4,4292
43,18,1,1550
35,27,3,1900
62,10,1,3161
36,29,2,4339
30,8,5,3109
10,23,3,1489
41,26,1,3622
27,11,4,3041
17,37,1,898
22,17,5,3777
35,32,3,3658
9,12,5,3869
16,33,2,422
25,39,3,432
19,23,3,889
16,18,2,3621
6,14,3,4904
22,26,3,2090
19,38,4,4254
22,26,1,2299
74,13,3,1572
49,15,4,891
31,10,2,792
34,30,5,2799
11,40,3,4178
57,35,2,4501
54,18,2,4073
54,24,2,2715
30,36,3,1889
36,23,3,590
9,21,2,820
10,16,3,2632
24,19,3,4357
37,21,4,3398
20,31,2,3325
21,29,4,1944
48,6,3,3424
1,33,2,4804
29,36,4,3317
9,33,2,2141
8,23,2,911
62,1,5,4030
21,14,4,2171
72,38,4,1659
13,17,5,466
16,5,3,1141
60,38,5,4879
33,14,1,3996
60,1,3,1408
19,12,3,3787
18,25,1,2531
66,7,1,125
61,5,5,1895
22,34,2,2800
49,25,4,2599
5,35,4,1223
20,31,1,2190
8,25,1,4832
67,12,2,1891
19,3,2,640
76,3,3,1684
1,21,2,4234
39,25,2,2607
38,11,3,4725
42,35,4,175
32,24,2,4558
72,9,2,2189
25,9,2,2320
54,25,1,4134
49,26,4,2842
56,9,3,2362
17,6,5,1994
63,16,2,1560
68,7,3,2757
33,32,2,2359
73,32,1,1111
37,30,5,1201
8,2,2,3899
79,14,3,2316
50,2,1,3202
11,22,5,658
74,37,5,3410
37,26,3,2607
1,7,3,313
6,40,2,734
48,37,1,2113
14,34,3,3998
27,27,1,1378
6,12,4,3762
7,25,1,1781
65,8,2,3817
24,15,3,574
56,4,5,2531
67,15,5,2961
38,19,4,689
57,17,3,3350
4,38,5,3561
65,1,2,685
58,39,3,4215
40,12,5,818
43,30,5,1558
58,36,2,4308
74,12,2,338
65,31,2,2856
1,9,1,4751
43,40,2,1383
71,33,1,2261
33,30,4,2101
5,6,1,3960
45,40,3,4404
8,2,4,1186
73,40,5,4376
36,28,2,295
52,29,3,1138
77,32,1,2334
46,27,1,4767
22,3,2,746
65,10,3,3981
28,29,3,459
66,2,3,4216
75,7,2,3086
66,15,5,2800
20,11,5,503
80,5,3,2681
25,21,4,3408
52,40,5,1887
80,25,4,452
65,31,1,3058
6,24,3,2293
55,18,1,4818
19,15,3,3509
66,11,4,4760
11,16,2,460
10,22,5,4992
55,6,5,3642
74,5,1,4268
62,27,4,672
20,36,4,1822
15,28,2,3329
73,15,5,2197
43,25,2,2163
41,39,3,3130
17,11,2,1460
5,38,1,2854
26,33,5,3450
4,1,1,339
73,35,3,2146
15,31,3,2361
30,9,4,4787
26,11,3,4227
3,21,2,1563
64,3,3,4316
6,33,2,1051
33,29,3,903
58,31,5,1838
22,18,1,745
33,32,1,2575
66,14,2,2247
14,21,5,3169
75,15,5,2693
57,10,1,2072
4,16,5,2319
32,3,4,3272
28,37,1,1368
57,10,3,3038
32,5,2,770
3,29,5,2335
12,5,4,3426
20,36,3,4347
57,16,2,3444
62,11,2,4516
22,14,3,4503
8,5,1,2733
8,17,3,983
7,25,2,4572
1,27,3,1950
29,28,3,1575
41,37,1,3859
56,20,3,4469
11,15,4,380
77,8,5,1523
26,16,3,4854
66,25,3,2424
34,33,5,619
66,9,1,332
12,26,1,2943
39,35,5,2695
8,39,3,2106
58,35,5,655
47,17,4,475
1,2,4,1339
51,36,4,2611
54,24,5,2150
78,31,4,4369
20,11,1,1391
22,15,3,467
72,35,2,459
18,29,2,4263
67,29,4,201
55,5,1,458
47,27,4,943
4,36,3,726
61,2,5,4218
66,1,2,1573
68,13,5,3073
66,29,2,2491
20,6,2,4511
18,12,3,2372
22,3,4,4613
32,29,1,486
39,19,1,3438
33,23,1,3678
8,35,1,2097
6,31,2,3059
62,24,2,688
71,9,5,3212
36,10,2,3410
49,39,1,2527
17,37,2,952
53,25,1,789
79,1,4,4644
3,2,4,2782
29,1,2,2368
74,13,5,3444
69,11,2,4614
12,20,5,3291
70,13,4,482
46,37,5,2699
26,37,3,2572
46,23,2,4898
4,2,1,1378
69,23,3,4083
55,32,1,4339
75,16,3,2275
1,11,1,2103
53,14,5,932
6,7,2,436
5,1,5,320
80,21,1,3519
73,1,3,4087
50,24,4,3649
48,37,3,265
75,1,3,3498
45,24,4,3782
10,26,1,3722
43,6,3,1209
31,17,3,4337
51,18,5,1858
78,5,4,1853
37,40,5,2531
71,22,5,2201
14,8,5,3750
6,37,1,3953
6,23,5,1775
15,37,3,4435
40,20,5,2740
49,37,4,2000
34,20,2,2703
58,2,1,4528
62,7,4,428
7,35,3,4620
80,14,5,3526
64,22,4,779
7,28,1,4631
46,30,5,2533
48,18,3,4154
37,20,3,3672
50,28,5,4658
22,37,5,462
33,1,1,980
44,7,3,208
47,3,3,1842
46,21,1,4973
50,24,2,4370
50,21,3,4829
71,37,3,3580
74,34,1,4466
27,21,4,1775
41,18,2,766
33,20,4,4902
67,22,3,208
60,38,4,874
68,27,4,1306
14,15,1,4174
43,6,1,4066
41,4,5,4142
10,17,2,614
25,16,3,3678
38,15,5,555
37,5,2,3246
20,23,1,899
66,2,3,2012
2,23,1,4879
14,40,5,1855
34,4,2,4404
52,2,4,1667
8,21,2,372
14,19,2,428
45,35,5,3134
29,19,3,221
18,37,5,2030
18,29,1,2822
27,7,3,2087
27,12,2,724
1,16,2,570
5,29,1,2404
50,15,2,4049
40,26,2,491
16,3,3,114
74,22,3,1946
1,1,2,4369
58,33,4,4832
40,2,3,1461
31,28,2,1771
43,9,5,2584
8,26,5,1229
55,6,1,2254
66,9,3,3744
21,5,4,1602
17,31,4,4966
71,36,3,317
20,32,5,4118
7,37,5,2152
62,4,5,708
12,8,3,3200
42,12,1,3782
74,13,3,2380
75,31,3,3509
41,7,4,1822
12,15,1,1036
60,16,4,1564
52,39,3,120
