CustomerID,OrderDate,TotalAmount
51,2025-10-12,7235
18,2025-12-17,600
67,2025-05-26,478
65,2026-01-28,9385
30,2025-06-16,2630
29,2025-12-19,7954
31,2025-12-12,6363
71,2025-11-23,9063
9,2025-08-19,9552
68,2026-03-16,3343
57,2026-01-16,6677
47,2025-10-26,1623
45,2025-11-19,4488
70,2026-02-17,6988
33,2025-05-23,6572
10,2025-09-17,7965
29,2025-10-24,6457
61,2026-01-09,2164
52,2025-05-15,2503
41,2025-10-05,7493
30,2025-06-25,2339
31,2026-04-12,2307
42,2025-10-23,8593
30,2025-08-09,543
11,2025-07-13,5074
71,2025-11-28,3685
19,2025-12-05,8467
79,2025-05-27,4043
12,2025-07-20,1069
70,2025-07-24,1544
9,2026-04-20,9113
28,2025-10-19,5218
2,2025-08-25,9181
40,2026-02-19,1118
6,2026-01-26,6823
76,2025-11-28,5178
15,2025-09-01,1046
73,2026-01-12,5213
69,2025-09-22,1462
60,2026-04-14,7880
13,2025-07-13,3759
63,2026-01-27,5147
56,2026-01-22,7158
34,2026-04-28,4867
32,2026-03-09,8854
35,2026-01-12,7511
25,2026-03-29,2365
30,2026-02-26,5072
30,2026-02-20,7009
49,2026-02-25,2091
43,2025-09-24,3501
54,2026-03-16,6067
40,2025-07-22,7298
10,2025-06-09,1481
33,2025-06-04,2683
35,2025-10-08,7775
44,2026-03-13,9000
28,2025-10-04,8708
12,2026-01-16,7402
25,2026-03-12,6152
40,2025-10-25,6765
67,2026-04-21,5848
75,2025-07-13,6893
64,2025-11-03,9886
68,2025-12-17,8860
7,2025-05-16,1418
64,2026-03-09,8745
48,2025-07-27,8829
59,2026-02-05,5108
66,2025-10-24,3023
43,2025-07-16,708
36,2026-03-19,5519
46,2025-06-14,6520
70,2025-08-29,3571
25,2026-03-17,9569
24,2026-01-17,5416
62,2026-03-21,8535
48,2025-09-25,2801
1,2025-11-22,9766
73,2025-11-07,2858
65,2026-01-08,3575
76,2026-02-22,7811
38,2026-03-17,2649
67,2025-11-23,5394
34,2025-12-31,4532
28,2025-10-13,4381
24,2025-09-23,9976
45,2025-09-18,3200
4,2025-11-23,6695
30,2025-09-24,9855
53,2025-06-06,1659
18,2026-01-17,3298
12,2026-02-02,5510
77,2025-10-01,4374
23,2026-01-05,1945
51,2025-09-24,5161
62,2026-04-30,5073
32,2026-04-08,4021
40,2025-10-07,9401
45,2025-06-23,1154
39,2026-02-07,8009
24,2025-08-07,3522
71,2025-12-04,2408
