ProductName,CategoryID,Price,Stock
Stainless Steel Cutlery Set,3,1914,147
Smartphone Camera Lens Kit,1,2235,83
Vegetable Stir-Fry Sauce,2,893,10
Puffed Rice Cake,1,4500,162
Herbed Couscous,4,3076,199
Slim Fit Chinos,1,479,97
Infrared Space Heater,2,1494,147
Spinach and Feta Wraps,2,4237,16
Crew Neck Sweater,1,2972,37
Fitness Jump Rope,2,157,80
Organic Coconut Flakes,1,4855,113
Vegetable Korma,1,2122,57
Pleated Midi Dress,4,2511,20
Professional Chef Knife,4,4842,39
Whole Chicken,2,2361,40
Travel Makeup Organizer,4,4009,134
Coconut Yogurt,4,1636,144
Dog Collar,2,3177,109
Mango Chia Pudding,1,2009,92
Smart Scale,3,2191,72
Hummus Trio Pack,1,1511,69
Cordless Electric Screwdriver,3,4852,79
Organic Coconut Oil,2,4285,49
Pet Activity Tracker,1,3358,40
Suede Ankle Booties,1,3520,72
Hot Salsa,2,3186,40
Noise-Canceling Headphones,1,935,14
Mini Air Purifier,2,1438,127
Garlic Parmesan Roasted Nuts,2,3195,107
Electric Skillet,4,1677,186
Mini Projector,2,4236,82
Artisan Bread,2,1527,91
Pasta Salad Kit,3,4709,81
Cheddar Cheese Crackers,3,1112,133
Car Seat Organizer,3,1843,104
Sweet Potato Chips,4,4542,113
Microfiber Cleaning Cloth Set,2,1668,153
Brownie Bites,3,3162,198
Screen Cleaning Kit,3,2703,63
Fitness Tracker Watch,4,2929,104
Wireless Charger Stand,1,2328,192
Maple Almond Butter,4,2718,39
Dual Function Electric Skillet,1,2926,96
Folding Pocket Knife,3,813,98
Telescope,3,4808,29
Chocolate Dipped Fruit,2,188,160
Smart WiFi Plug,4,4296,106
High-Speed Hand Blender,3,2217,42
Fitbit Activity Tracker,4,3061,27
Watering Can with Nozzle,4,1634,108
LED Flashing Pet Collar,4,3452,142
Sun-Dried Tomato Pesto,1,1438,156
Almond Butter Granola Bars,3,512,197
Quinoa and Kale Salad Kit,4,1916,38
Smartphone Gimbal Stabilizer,2,3105,198
Mediterranean Couscous Salad,2,3353,133
Tailgating Set,4,3450,155
Classic Pesto Sauce,4,220,53
Graphic Tee,2,3839,134
Frozen Berry Blend,2,3977,63
Bluetooth Tracker,3,4902,157
Arcade Game Machine,2,2618,43
Matcha Green Tea Powder,4,4317,81
Home Karaoke System,2,1847,200
Rain Jacket,3,4756,108
Screen Cleaning Kit,3,4547,133
Mesh Laundry Bags Set,2,326,61
Solar String Lights,1,3101,180
Laptop Sleeve,3,1842,50
Walnut Halves,2,3553,63
Eco-Friendly Disposable Plates,2,3185,96
Portable Solar Path Lights,3,837,19
Baked Falafel,1,214,65
Electric Wax Warmer,2,2026,138
USB Flash Drive,4,847,81
Garlic Parmesan Roasted Nuts,4,2416,115
Backpack,2,847,167
Mediterranean Chickpea Bowl,1,1037,47
Spicy Thai Noodles,1,1193,154
Solar String Lights,4,1671,66
Electric Fondue Pot,2,2012,141
Balsamic Glazed Brussels Sprouts,4,1323,115
Pasta Maker Machine,3,2877,127
Under Desk Footrest,2,3791,154
Taro Chips,3,3885,132
Maple Almond Butter,3,2545,133
Foldable Yoga Mat Carry Bag,4,464,104
Graphic Sweatshirt,3,1801,159
Balsamic Vinegar,3,1906,180
Vegetarian Stir Fry Sauce,2,4546,169
Black Bean Soup,3,2582,176
Mini Hand Gesture Drone,1,313,162
Sea Salt Caramel Brownie,1,4637,91
Spicy Tuna Sushi Kit,4,1452,52
Maple Almond Yogurt,3,903,200
Salsa Verde,3,2475,107
Dark Chocolate Bars,1,1158,174
Sliced Avocado,1,2628,67
Multi-Function Meat Tenderizer,3,1301,12
Ground Cinnamon,4,3566,157
Kids' Dinosaur-Themed Lunchbox,2,512,110
Personal Blender with Travel Cup,4,3850,177
Silicone Ice Cube Tray,3,2395,160
Weighted Blanket,2,2593,91
Buffalo Chicken Dip,2,4118,125
Chili Lime Shrimp,3,4742,123
Pet Water Fountain,2,2537,193
Thai Red Curry Paste,4,4085,115
Ceramic Planter Set,4,2908,110
Compact Umbrella,4,687,93
Personal Blender with Cups,3,3930,81
Organic Coconut Flakes,1,1178,86
Portable Pet Bathing Tool,4,1311,111
Caramelized Onion Dip,4,3703,14
Natural Peanut Butter,1,1693,71
Smartphone Tripod with Bluetooth Remote,1,4399,19
Oven Mitts with Pocket,3,3547,22
High-Quality Yoga Mat,4,2481,167
Kids' Art Easel,1,187,106
Balsamic Salad Dressing,1,3028,167
Thai Basil Fried Rice,2,821,30
Chocolate Chip Cookie Mix,1,3449,123
Self-Cleaning Water Bottle,1,4096,189
Screen Cleaning Kit,3,1145,73
Organic Apples,3,2311,54
Snap-On Tupperware Set,4,4234,13
Peanut Butter Pretzel Nuggets,3,4841,180
Jennifer's Amazing Lip Balm Kit,3,2969,151
Mini Meatballs,4,4171,113
Honey Nut Cheerios,2,227,57
Self-Watering Planters,1,2607,176
Cucumber Relish,3,3364,70
Foldable Picnic Table,2,399,177
Electric Heat Pad,4,1150,86
Smartphone Projector,1,4435,122
Kids' Educational Tablet,3,4934,108
Peach Slices in Syrup,1,4464,153
Chocolate Mint Thins,1,2421,145
Pet Hair Remover,3,2595,27
Creamy Ranch Dressing,4,1307,114
Smoked Gouda Cheese,1,558,134
A-Line Skirt,1,1931,35
Chocolate Dipped Fruit,4,3393,37
Brown Rice,3,3673,183
Cold Brew Coffee Concentrate,3,790,192
Oven-Baked Chicken Tenders,1,4317,165
Honey Garlic Shrimp,4,4590,98
Vegetable Stir-Fry Kit,1,4715,146
Honey Garlic Sauce,4,1887,20
Chocolate Syrup,4,127,35
Striped Long Sleeve Shirt,2,2924,71
Classic Black Dress,2,2051,127
Apple Cinnamon Instant Oatmeal,4,2738,181
Adjustable Kneeling Pad,3,2970,61
Apricot Jam,4,2002,165
Inflatable Party Cooler,2,1990,95
Lemon Herb Quinoa,1,1450,67
Coconut Cream Pie,1,684,144
Pepper Jack Cheese Sticks,4,4053,51
Cinnamon Ice Cream,1,4451,124
Cotton Basic Tank,3,1208,48
Frozen Fruit Medley,2,204,99
Zucchini Noodles,4,3369,187
Peach Salsa,3,428,99
Teriyaki Chicken Wings,2,4566,160
Coffee Capsule Dispenser,2,2266,195
Outdoor Inflatable Pool,3,1285,176
Coconut Oil Spray,1,991,86
Organic Spinach,4,3863,24
Natural Fruit Snacks,4,4762,186
Plant Growing Kit,1,2762,147
Energy Protein Bars,3,2767,102
Sea Salt Tortilla Chips,4,187,122
Set of Measuring Spoons,4,1786,45
Artisan Flatbreads,2,829,154
Coconut Water,4,4427,84
Pet Travel Backpack Carrier,1,726,151
Multi-Layer Food Steamer,4,4341,198
Honey Sesame Cashews,1,2007,83
Indoor Grill,4,477,179
Wall-Mounted Organizer,2,589,163
Mango Chunks,4,3999,39
Sliced Ham,3,954,193
Mini Air Hockey Table,4,2689,101
Handheld Garment Steamer,1,2164,91
Portable Bluetooth Headphones,4,4192,122
Peanut Butter,2,2530,130
Kids' Building Blocks,4,4230,170
Zesty Garlic Hummus,3,353,48
Collapsible Folding Chair,2,4566,76
Foam Roller for Muscle Recovery,1,2058,65
Peanut Butter Banana Smoothie Mix,2,471,51
Fitness Mat,4,2574,88
Sweet Potato & Kale Hash,3,2097,82
Aeropress Coffee Maker,1,4129,79
Organic Baby Spinach,3,2563,61
Children's Science Experiment Lab Kit,4,3699,12
Adjustable Laptop Desk,1,4045,115
Spicy Tuna Salad,4,3855,95
Organic Green Lentils,4,592,20
Kids' Outdoor Explorer Kit,2,4262,33
Garden Kneeler and Seat,4,4164,197
Vegan Caesar Dressing,4,527,175
Teriyaki Salmon Fillets,3,2722,128
Ripped Boyfriend Jeans,2,1450,84
Banana Chips,4,4220,100
Mechanical Pencil Set,1,135,124
Sea Salt Tortilla Chips,3,721,24
Sooji (Semolina),1,2253,178
Pumpkin Puree,4,1100,135
Lemon Zest Olive Oil,4,191,30
Organic Green Lentils,4,1992,28
Set of Herb Garden Markers,1,3645,149
DIY Organic Gardening Kit,3,1570,57
Cucumber Relish,2,722,85
Chipotle Sauce,3,4220,43
Portable Speakers,2,2329,146
Electric Hot Pot,4,2757,145
Sesame Garlic Stir-Fry Sauce,1,3617,14
Wall-Mounted Bookshelf,4,1265,162
Kale Salad Kit,1,1758,44
Ramen Noodles,4,1187,184
Frozen Edamame,3,3002,129
Lemon Dill Chicken Skewers,2,178,187
Chocolate Mint Protein Shake,1,628,200
Organic Almonds,3,2415,28
Hydration Backpack,3,155,92
Sustainable Wooden Toys,1,1510,37
Walnut Halves,4,1982,60
Popcorn Chicken,2,4597,163
Chili Lime Shrimp,1,943,187
Oven Mitts,3,867,95
Coconut Cream Pie Yogurt,4,4337,183
Eco-Friendly Notepad,3,2670,145
Children's Garden Tool Set,1,4360,189
Kids' Craft Supplies Set,3,2657,70
Cacao Nibs,1,2717,181
Scented Candle Set,2,1546,190
Fishing Rod,2,2605,22
Athletic Sports Bra,1,339,45
Athletic Sports Bra,4,1439,52
Greek Yogurt Parfait,2,271,139
Cinnamon Sugar Donuts,3,4710,182
Cereal Dispenser with Portion Control,4,1653,158
Stuffed Grape Leaves,3,3196,92
Italian Pasta,4,890,170
Vegetable Korma,3,3566,80
Electric Blanket,4,2542,137
Garlic Butter Shrimp,1,1236,29
Coffee Making Kit,3,1668,77
Eco-Friendly Notepad,4,2312,65
Art Supplies Organizer,1,935,32
Shower Curtain Hooks,3,4225,152
Wall-Mounted Bookshelf,4,4789,189
Sweet Potato Mash,1,1730,39
Tea Infuser,2,131,153
Honey Mustard Dip,4,4917,16
Almond Coconut Granola,3,4992,107
Compact Digital Camera,2,1721,126
Vanilla Almond Granola,3,1327,97
Striped Long Sleeve Shirt,2,1300,103
Robot Vacuum Cleaner,1,4653,165
Indestructible Dog Toy,2,4460,196
Dried Mango Slices,1,4156,129
Garlic Breadsticks,1,2610,107
Mini Electric Kettle,1,3366,182
Digital Drawing Tablet,2,4997,44
Car Sunshade,4,3682,22
Asian Stir-Fry Vegetables,4,990,58
Mini Electric Kettle,2,3847,115
Apple Cinnamon Oatmeal,2,3136,187
LED Strip Lights,1,3516,188
Gardening Fairy Figurines,1,3155,128
Scented Candle Set,4,3814,54
LED Flashing Pet Collar,4,3063,122
Gaming Headset,3,821,117
Reflective Safety Vest,2,3159,42
Camera Lens Cleaning Kit,4,4322,21
Vacuum Sealer Machine,1,729,107
Cable Knit Cardigan,2,3426,52
Silicone Baking Mat Set,4,4587,64
Maple Bacon Popcorn,1,3358,164
Wireless Gaming Headset,4,1816,42
Smart Wi-Fi Camera,3,1785,144
Hydration Backpack,2,4648,169
Spiced Pumpkin Soup,1,2714,158
Comfort Flats,4,3612,198
Portable Charger with Solar Panel,4,697,168
Electric Egg Cooker,1,2426,24
Key Finder,4,4268,78
Coconut Oil Spray,4,2155,53
Italian Herb Balsamic Marinade,4,2633,149
Kale Chips,4,4601,105
LED Desk Lamp,1,4129,99
Flavored Popcorn Mix,3,4050,192
Creamy Coleslaw Mix,1,493,169
Frozen Mixed Vegetables,2,2088,156
Herbed Goat Cheese,4,3598,75
Watercolor Brush Pens,2,4808,46
High-Waisted Skirt,4,3872,151
Adjustable Laptop Desk,3,854,26
Kettle BBQ Grill,1,996,159
Turmeric Ginger Tea,3,4162,90
Almond Coconut Granola,1,334,165
Graphic Sweatshirt,1,1595,67
Lemon Garlic Shrimp,2,337,170
Electric Milk Frother,1,643,97
Classic Minestrone Soup,4,1963,147
Organic Quinoa Salad,1,3222,23
Digital Voice Recorder,1,325,168
Organic Vanilla Bean Ice Cream,3,2757,138
Graphic Tee,1,179,56
Sous Vide Cooker,1,2083,68
Kale and Quinoa Salad,1,2743,105
Fire Roasted Salsa,3,4357,50
Stuffed Peppers with Quinoa,1,2510,100
Peanut Butter Banana Smoothie Mix,2,298,49
Veggie Lovers Pizza,1,4358,176
Professional Chef Knife,2,4880,17
Avocados,4,829,30
Cotton Tote Bag Set,2,2084,23
Greek Yogurt Parfait,3,3214,70
Self-Adhesive Wallpaper,2,3983,137
Electric Hot Pot,4,3523,93
Spiralizer,1,1753,91
Vegan Alfredo Sauce,3,3848,177
Wireless Security Camera,4,3500,18
Gardening Fairy Figurines,1,1772,11
Beef Stroganoff Meal Kit,1,523,117
Vegan Protein Powder,4,4529,83
Gaming Headset,2,3162,138
DIY Candle Making Kit,3,1406,196
Eggs (dozen),2,551,184
Spinach and Ricotta Ravioli,3,1760,169
Nutty Trail Mix,1,4195,200
Inflatable Paddle Board,4,4661,181
Basil Pesto Pasta,1,1835,128
Denim Jacket,4,205,173
Siphon Coffee Maker,4,2484,11
Pumpkin Waffles,4,270,186
Slingback Sandals,1,2970,22
Athletic Sports Bra,3,1540,134
Smart Wi-Fi Camera,3,3192,80
Savory Rice Cakes,3,1742,94
Hair Dryer,1,2794,112
Electric Griddle,4,1149,35
Wireless Game Controller,2,3034,65
Gardening Tools Set,1,1917,99
Travel Eye Mask with Ear Plugs,4,3108,67
Knitted Infinity Scarf,1,2574,149
Blueberry Oatmeal Cups,1,3784,19
Italian Breadsticks,4,4220,125
Camping Chair with Cooler,4,2222,171
Children's Garden Tool Set,1,4100,188
Almond Flour Cookies,4,1244,128
Vegan Tacos,4,4722,125
Ski Goggles,2,341,13
Foot Massager,1,2723,55
Mango Chunks,3,3404,44
Memory Foam Mattress Pad,2,2192,67
Honey Sriracha Chicken Bites,4,4399,165
Insulated Coffee Mug,1,171,100
Educational STEM Kit,2,2812,160
Oven Mitts,2,3598,107
Pet Water Fountain,1,2407,156
Veggie Lovers Pizza,2,4121,153
Organic Granola,3,865,73
Portable Bluetooth Headphones,4,3864,140
Electric Kettle with Temperature Control,2,762,24
Honeycrisp Apple Chips,1,4349,127
Sun-Dried Tomato Pesto,4,474,76
Kale & Quinoa Salad Mix,4,3995,83
Woven Storage Baskets,2,3554,77
Spinach and Feta Wraps,2,1774,25
Wooden Kitchen Utensil Set,3,2305,185
Electric Pressure Washer,3,318,126
Wine Decanter,1,589,169
Chocolate Protein Powder,4,392,95
Cherry Almond Protein Bar,2,1449,34
Savory Quinoa Pudding,1,4073,133
Cable Knit Beanie,1,2330,155
Almond Joy Protein Bars,1,515,78
Silicone Wine Glasses,1,4455,83
Dog Car Seat Cover,2,3085,190
Coconut Curry Chicken,3,1091,185
Outdoor Sports Backpack,4,1249,151
Garden Hose Reel,2,4786,161
Camping Chair,1,3319,139
Low-Fat Yogurt,2,526,105
Induction Cooktop,1,1098,183
Infrared Thermometer Gun,2,2924,129
Handheld Vacuum,2,4864,89
Sturdy Bookends,2,2615,185
Rice Cakes,1,4027,68
Dual Function Electric Skillet,1,4610,169
Canned Coconut Milk,4,4098,162
Sculpting Kit,3,120,151
Falafel Mix,1,135,137
Magic Color-Changing Mug,1,4452,87
Garden Tool Set with Carrying Bag,2,4712,58
Spicy Kimchi,3,2786,39
Streaming Device,3,423,163
Adjustable Stand for Tablets and Smartphones,2,951,109
Crew Neck Sweater,3,2347,142
Portable Solar Charger,4,2048,152
Blender Bottle,3,281,171
Silicone Ice Cube Tray,2,2904,88
Pet Food Storage Container,1,3242,185
Pineapple Coconut Yogurt,4,1264,153
Applewood Smoked Bacon,3,440,117
Smoked Paprika Chicken Thighs,2,3914,84
Jasmine Rice,1,700,140
DIY Lip Balm Making Kit,1,1661,145
Handmade Leather Wallet,2,4720,40
Portable Hammock Swing,1,4098,21
Cheese Stuffed Jalapenos,2,2308,73
Chocolate Chip Cookie Dough,2,4495,68
Maple Almond Yogurt,1,4225,199
Electric Griddle with Removable Plates,1,1030,33
Smart Light Switch,1,580,80
Organic Fruit Salad,2,4413,69
Chili Con Carne Mix,2,1981,122
Pepper Jack Cheese Slices,1,4039,140
Chocolate Mint Protein Shake,1,2100,28
Maple Cinnamon Granola,1,1655,149
Elegant Lace Dress,3,3905,160
Chocolate Mint Protein Shake,4,3405,11
Key Finder,3,2967,134
Outdoor Picnic Blanket,4,3470,163
Honeycrisp Apples,4,4960,151
Lentil Soup (canned),1,1045,68
Garlic Parmesan Roasted Nuts,4,2297,97
Portable Solar Generator,1,1093,173
Scent Diffuser,4,2899,38
Over-The-Door Shoe Organizer,4,347,189
Portable Pet Stroller,2,4146,195
Tennis Racket,4,290,35
Breathable Face Mask Set,1,542,143
Wireless Music Receiver,3,1132,119
Reusable Silicone Food Storage Bags,1,2385,136
Coconut Rice,1,1784,85
Vegan Cheese,4,1532,146
Kids' Art Supplies Kit,1,4576,165
Pet Travel Bed,4,130,160
V-Neck Sweater,1,3880,104
Crew Neck Sweater,3,2928,165
Classic Pumps,2,2518,150
Smartphone Gimbal,1,3948,127
Organic Cucumber,4,1914,15
Chocolate Chip Cookie Mix,2,641,132
Hand Crank Blender,4,2670,157
Organic Cucumber,4,675,195
Beef Taco Skillet,2,2696,159
Watering Can with Nozzle,3,1522,85
Pretzel Bites,2,229,187
Heart-Shaped Baking Molds,3,3550,167
Bock Beer Mustard,3,3227,26
Cocoa Powder,3,3814,137
Self-Watering Planter,3,2661,144
DIY Candle Making Kit,2,2542,76
Camera Lens Cleaning Kit,3,4589,75
Herb Drying Rack,2,1135,71
Wine Decanter,2,3868,120
Set of Herb Garden Markers,1,3032,44
Rice Pilaf Mix,4,2563,34
Carrot Sticks,4,4790,65
Fruit and Nut Medley,4,406,140
Fitness Tracker Watch,3,4114,173
Sweet Corn Fritters,1,1968,64
Home Delivery Food Journal,4,4614,137
USB Desk Fan,1,2313,21
Mobile Workbench,3,339,52
Smart Plug,3,4790,28
Plant Pot Drip Trays,2,1688,134
Hiking Water Bottle with Filter,3,318,145
Digital Bullet Journal,4,4240,46
Gardening Kneeler and Seat,2,2150,192
Organic Green Tea,3,3971,85
Creative Puzzle Game,3,3059,184
Shoe Organizer,2,286,114
Kettle Corn Popcorn,1,453,136
Vanilla Pudding Mix,3,3793,46
Personalized Pet ID Tags,1,106,26
Pressure Cooker,2,1767,142
Banana Nut Muffins,3,2126,111
Inflatable Paddle Board,4,3742,143
Laptop Sleeve,4,1167,173
Organic Green Tea,4,3880,97
Smart LED Desk Lamp,3,3535,120
Banana Nut Muffins,3,4678,40
Wooden Toy Train Set,2,4184,21
Chickpea Salad Deluxe,4,2082,49
Ground Cinnamon,2,3098,151
Vintage Graphic Tee,3,4694,164
Outdoor Fire Pit,3,2716,188
Weighted Jump Rope with Counter,4,2787,44
Savory Mushroom Risotto,1,4120,159
Ultra-Thin Laptop Sleeve,2,3849,124
Ginger Tea,4,4057,71
Portable Solar Phone Charger,4,3370,134
Honey mustard chicken tenders,2,180,86
Multi-Purpose Scissors,1,683,38
Chocolate Mint Cookies,4,516,64
Linen Trousers,3,4288,127
Steak Seasoning Rub,3,2093,57
Chickpea Flour,1,2492,103
Wildflower Honey,3,1588,119
Children's Gardening Set,3,2379,50
Homestyle Beef Stew,4,4449,90
Canned Black Beans,3,753,119
Cranberry Orange Oatmeal,3,4252,167
Hummus,2,481,102
Electric Griddle with Removable Plates,2,473,154
Spinach Artichoke Dip,1,3394,35
Fried Rice,3,3885,99
Blue Denim Jeans,2,3990,70
Deluxe First Aid Kit,4,4738,22
Tabletop Fire Pit,4,1966,16
Beef Tacos,4,2806,144
Pumpkin Spice Pancake Mix,3,1914,52
Personal Blender with Travel Cup,2,3930,174
Cauliflower Crust Pizza,1,1082,53
